,Star_name,Distance,Mass,Radius
139,2MASS J03284265+2302051 [de],98,54,0.98
140,2MASS J03341218-4953322,27.0,73,1.04
141,LP 944-20,20.9,73,1.43
142,2MASP J0345432+254023,88,74,1.05
143,Teide 1,380,55,3.78
144,2MASS J03510004-0052452,48,102,1.27
145,2MASS J03552337+1133437,29.8,20,1.32
146,DENIS-P J035726.9-441730 [de],130,,
147,2MASS J04151954−0935066,18.6,30,0.95
148,SDSSp J042348.57-041403.5 [de],50,,
149,2MASS J04285096-2253227 [de],85,80,1.09
150,2MASS J04351612-1606574,34,100,1.26
151,2MASS J04362788-4114465,142,39,1.97
152,2MASS J04390101-2353083 [de],29.5,48,0.97
153,2MASS J04414489+2301513,470,19,
154,2MASS J04433764+0002040,82,22,1.78
155,2MASS J04455387-3048204 [de],42,64,1.00
156,2MASS J04510093-3402150 [de],69,1.04,72
157,2MASS J05002100+0330501 [de],44,64,1.00
158,2MASS J05012406-0010452 [de],64,21,1.38
159,2MASS J05160945-0445499 [de],73,47,0.97
160,2MASS J0523−1403,40,68,1.01
161,2MASS 0532+8246,81,83,
162,SDSS J053951.99-005902.0,41.62,61,1.01
163,2MASS J05591914-1404488 [de],34,,
164,LSR 0602+3910 [de],34.6,28,1.41
165,2MASS J06085283-2753583,102,38,1.51
166,WISEP J061135.13-041024.0A,69,65,
167,WISEP J061135.13-041024.0B,69,53,
168,2MASS J06244595-4521548 [de],39,56,0.99
169,2MASS J06411840-4322329 [de],65,67,1.01
170,DENIS-P J0652197-253450 [de],51,75,1.05
171,2MASS J07003664+3157266 [de],40,,
172,2MASS J07075327-4900503,60,72,1.03
173,UGPS J072227.51-054031.2,13.4,26,0.98
174,2MASSI J0727182+171001 [de],29.6,41,0.94
175,2MASS J07290002-3954043 [de],25.8,37,0.94
176,SDSS J074201.41+205520.5 [de],49,43,0.94
177,2MASS J0746425+200032 [fr],49.6,,
178,DENIS-P J0751164-253043 [de],55,71,1.03
179,2MASS J07522390+1612157,60,2.01,68
180,DENIS J081730.0-615520,16.1,44,0.94
181,DENIS J082303.1−491201A,67,44,
182,DENIS J082303.1−491201B,67,28,
183,2MASS J08251968+2115521 [de],35,52,0.98
184,SDSSp J083008.12+482847.4 [de],43,48,0.99
185,LHS 2021,55,88,1.15
186,SDSS J083048.80+012831.1 [de],77,46,0.96
187,2MASSI J0835425-081923 [de],23.53,62,1.00
188,2MASSI J0847287-153237 [de],43,64,1.00
189,2MASS J08533619-0329321,27.6,77,1.07
190,2MASSI J0859254-194926 [de],50,50,0.98
191,2MASSW J0920122+351742 [de],95,,
192,2MASSI J0937347+293142,20.0,42,0.94
193,2MASS 0939−2448,17.4,32,0.95
194,2MASS J09490860-1545485 [de],59,49,0.96
195,2MASS J10073369-4555147,46,44,0.94
196,2MASSI J1010148-040649 [de],55,51,0.98
197,2MASSI J1017075+130839 [de],108,,
198,SDSS J102109.69-030420.1,95,,
199,2MASS J10224821+5825453 [de],60,27,1.41
200,2MASSW J1036530-344138 [de],53,49,0.97
201,2MASS J1047538+212423 [de],34.4,42,0.94
202,DEN 1048-3956,13.15,77,1.07
203,Luhman 16B,6.516,43,1.02
204,Luhman 16A,6.516,40,1.01
205,DENIS-P J1058.7−1548,49,64,1.00
206,TWA 28,180,36,2.39
207,Cha 110913-773444,163,8,1.8
208,OTS 44,554,15,
209,SDSS J111010.01+011613.1,63,9,1.24
210,2MASS J11145133−2618235,18.2,33,0.96
211,TWA 26,137,30,2.20
212,2MASSW J1146345+223053,89,,
213,2MASS J11544223-3400390 [de],129,37,1.50
214,2MASSW J1155395-372735 [de],31,64,1.00
215,TWA 27A,,,
216,TWA 27B,,,
217,2MASS J12074836-3900043,217,17,1.71
218,2MASSI J1217110-031113 [de],36,42,0.94
219,2MASS J12255432-2739466,43,,
220,DENIS-P J1228.2-1547,66,,
221,2M 1237+6526,45.6,41,0.94
222,2MASSW J1239272+551537 [de],119,,
223,TWA 29,262,2.00,25
224,SDSSp J125453.90-012247.4 [de],38,47,0.98
225,Kelu-1A,61,63,0.98
226,Kelu-1B,61,58,0.98
227,2MASS J13204427+0409045,101,67,1.01
228,SDSSp J132629.82-003831.5 [de],65,51,0.97
229,SDSSp J134646.45-003150.4 [de],48,44,0.94
230,2MASS J13595510-4034582,51,63,1.00
231,ULAS J141623.94+134836.3,29.7,32,0.96
232,SDSS J141659.78+500626.4 [de],149,59,0.99
233,DENIS-P J142527.97-365023.4 [de],38,21,1.32
234,LHS 2924,38.5,76,1.06
235,2MASS J14392837+1929150,47,72,1.03
236,LSPM J1440+1339,72,92,1.19
237,2MASS J14482563+1031590 [de],47,59,0.99
238,CFBDSIR 1458+10A,104,11.1,1.5
239,CFBDSIR 1458+10B,104,9,1.3
240,TVLM 513-46546,35.1,75,1.05
241,2MASS 1503+2525,20.7,44,0.94
242,CFBDS J150411+102717,71,44,0.94
243,2MASSW J1506544+132106 [de],46,69,1.02
244,2MASS 1507−1627,23.9,60,0.99
245,TVLM 868-110639,53,79,1.08
246,SDSS J151114.66+060742.9 [de],89,,
247,2MASSW J1515008+484742 [de],34,57,0.99
248,2MASSI J1526140+204341 [de],67,54,0.98
249,DENIS-P J153941.96-052042.4 [de],51,63,1.00
250,2MASS J15462718-3325111 [de],37,44,0.94
251,2MASSW J1552591+294849 [de],68,30,1.43
252,2MASSW J1555157-095605 [de],44,71,1.03
253,2MASS J16150413+1340079 [de],48,42,0.94
254,SDSSp J162414.37+002915.6 [de],36,43,0.94
255,2MASS J16262034+3925190 [de],110,71,1.03
256,2MASSW J1632291+190441 [de],50,49,0.97
257,WISEPA J164715.59+563208.2,28,41,0.94
258,LSPM J1658+7027 [de],60,73,1.04
259,2MASSI J1726000+153819,114,24,1.40
260,2MASSW J1728114+394859,79,,
261,SDSSp J175032.96+175903.9,90,47,0.97
262,2MASS J18283572-4849046,39,45,0.95
263,LSR J1835+3259,18.5,77,1.07
264,2MASSW J1841086+311727,138,67,1.01
265,2MASS J18432213+4040209,46,96,1.22
266,2MASS J20004841-7523070,105,25,1.88
267,SDSS J204749.61-071818.3,65,46,0.96
268,2MASSI J2057540-025230,47,70,1.02
269,2MASSW J2101154+175658,108,,
270,2MASSI J2104149-103736,62,69,1.02
271,PSO J318.5−22,80,6.5,1.53
272,HB 2124-4228,113,94,1.21
273,2MASS J21392676+0220226,32.1,46,0.96
274,2MASS J21481628+4003593,26.3,55,0.99
275,2MASS J14112131-2119503,,,
276,2MASSW J2206450-421721,93,22,1.33
277,2MASSW J2208136+292121,154,27,1.41
278,2MASSW J2224438-015852,38,61,0.99
279,2MASS J22282889-4310262,35,42,0.94
280,2MASS J22373255+3922398,64,73,1.04
281,2MASSW J2244316+204343,56,12,1.29
282,2MASS J23224684-3133231,56,24,1.39
283,2MASS J23225299-6151275,148,17,1.59
284,2MASS J23515044-2537367,67,88,1.16
285,2MASSI J2356547-155310,74,80,1.09
286,WISE 0005+3737,23.2,,
287,WISE 0008-1739,87.1,,
288,WISE 0015-4615,48.6,,
289,WISE 0031-3840,71.8,,
290,WISE 0032-4946,62.9,,
291,WISE 0038+2758,36.9,,
292,WISE 0038+8405,101.8,,
293,WISE 0040+0900,47.6,,
294,WISE 0049+0441,62.6,,
295,WISE 0049+2151,24.1,,
296,WISE 0106+1518,142.9,,
297,WISE 0123+4142,67.2,,
298,WISE 0135+1715,77.3,,
299,WISE 0138-0322,57.7,,
300,WISE 0146+4234,20.5,,
301,WISE 0148-7202,30,,
302,WISE 0150+3827,61.3,,
303,WISE 0206+2640,58.4,,
304,WISE 0221+3842,73.1,,
305,WISE 0223-2932,47,,
306,WISE 0226-0211,91,,
307,WISE 0241-3653,53.8,,
308,WISE 0245-3450,56.1,,
309,WISE 0247+3725,57.1,,
310,WISE 0305+3954,75,,
311,WISE 0307+2904,82.8,,
312,WISE 0313+7807,28,,
313,WISE 0316+4307,106.3,,
314,WISE 0321-7347,84.8,,
315,WISE 0323-6025,45.3,,
316,WISE 0325-3854,51.2,,
317,WISE 0325+0831,36.5,,
318,WISE 0333-5856,54.8,,
319,WISE 0335+4310,45.7,,
320,WISE 0336-0143,55.4,,
321,WISE 0350-5658,17.7,,
322,WISE 0359-5401,19.2,,
323,WISE 0410+1502,20,6,1.17
324,WISE 0410+1411,85.8,,
325,WISE 0413-4750,66.2,,
326,WISE 0448-1935,69.8,,
327,WISE 0458+6434A,35.9,15,4.2
328,WISE 0458+6434B,35.9,10,3.8
329,WISE 0500-1223,47,,
330,WISE 0513+0608,44.7,,
331,WISE 0525+6739,98.2,,
332,WISE 0528-3308,57.4,,
333,WISE 0535-7500,47,,
334,WISE 0539-1034,84.8,,
335,WISE 0542-1628,50.6,,
336,WISE 0607+2429,25.4,,
337,WISE 0611-0410,57.7,,
338,WISE 0612-4920,95.2,,
339,WISE 0612-3036,64.9,,
340,WISE 0614+3912,50.2,,
341,WISE 0614+0951,51.5,,
342,WISE 0623-0456,37.5,,
343,WISE 0625+5646,67.2,,
344,WISE 0627-1114,37.2,,
345,WISE 0647-6232,28,,
346,WISE 0656+4205,54.1,,
347,WISE 0713-2917,23.2,,
348,WISE 0723+3403,45.7,,
349,WISE 0733+7544,78.3,,
350,WISE 0734-7157,34.9,,
351,WISE 0744+5628,47.3,,
352,WISE 0750+2725,51.5,,
353,WISE 0751-7634,39.1,,
354,WISE 0759-4904,38.8,,
355,WISE 0811-8051,32,,
356,WISE 0812+4021,63.6,,
357,WISE 0819-0335,46,,
358,WISE 0821+1443,68.2,,
359,WISE 0836-1859,72.4,,
360,WISE 0857+5604,42.1,,
361,WISE 0906+4735,51.5,,
362,WISE 0929+0409,64.9,,
363,WISE 0952+1955,72.1,,
364,WISE 1018-2445,47.6,,
365,WISE 1019+6529,56.8,,
366,WISE 1039-1600,47.3,,
367,WISE 1042-3842,53.2,,
368,WISE 1051-2138,40.8,,
369,WISE 1122+2550,57.7,,
370,WISE 1124-0421,50.6,,
371,WISE 1147-2040,102,,
372,WISE 1150+6302,32.9,,
373,WISE 1217+1626A,34.2,12,
374,WISE 1217+1626B,34.2,6,
375,WISE 1225-1013,55.4,,
376,WISE 1311+0122,44.4,,
377,WISE 1311+3629,86.1,,
378,WISE 1318-1758,32.9,,
379,WISE 1320+6034,56.1,,
380,WISE 1322-2340,33.9,,
381,WISE 1348+6603,91,,
382,WISE 1405+5534,25.3,30,0.86
383,WISE 1433-0837,84.8,,
384,WISE 1436-1814,60,,
385,WISE 1457+5815,52.2,,
386,WISE 1506+7027,11.1,,
387,WISE 1517+0529,72.4,,
388,WISE 1519+7009,50.9,,
389,WISE 1523+3125,84.5,,
390,WISE 1541-2250,20,,
391,WISE 1542+2230,41.1,,
392,WISE 1612-3420,55.4,,
393,WISE 1614+1739,32.6,,
394,WISE 1617+1807,50.2,,
395,WISE 1622-0959,52.2,,
396,WISE 1627+3255,50.2,,
397,WISE 1639-6847,16.3,,
398,WISE 1647+5632,28,,
399,WISE 1653+4444,39.5,,
400,WISE 1711+3500,60.3,,
401,WISE 1717+6129,72.7,,
402,WISE 1721+1117,62.3,,
403,WISE 1728+5716,97.8,,
404,WISE 1738+2732,20,,
405,WISE 1741+2553,18.9,,
406,WISE 1746-0338,83.8,,
407,WISE 1800+0134,28.7,57,
408,WISE 1804+3117,30,,
409,WISE 1809+3838,74.4,,
410,WISE 1812+2721,47,,
411,WISE 1828+2650,36,,
412,WISE 1830+4542,107,,
413,WISE 1841+7000,131.1,,
414,WISE 1852+3537,55.4,,
415,WISE 1906+4508,51.5,,
416,WISE 1928+2356,22.8,,
417,WISE 1952+7240,44.4,,
418,WISE 1959-3338,37.2,,
419,WISE 2030+0749,34.2,,
420,WISE 2014+0424,96.2,,
421,WISE 2015+6646,50.6,,
422,WISE 2018-7423,47.9,,
423,WISE 2019-1148,42.4,,
424,WISE 2056+1459,24.5,,
425,WISE 2134-7137,42.7,,
426,WISE 2157+2659,61.6,,
427,WISE 2209-2734,46,,
428,WISE 2213+0911,58.7,,
429,WISE 2220-3628,26.4,,
430,WISE 2226+0440,45,,
431,WISE 2237-0614,53.5,,
432,WISE 2237+7228,46,,
433,WISE 2239+1617,59.7,,
434,WISE 2255-3118,44.7,,
435,WISE 2301+0216,60.7,,
436,WISE 2313-8037,35.9,,
437,WISE 2319-1844,52.2,,
438,WISE 2325-4105,37.5,,
439,WISE 2327-2730,70.8,,
440,WISE 2335+4222,90.3,,
441,WISE 2340-0745,37.8,,
442,WISE 2342+0856,51.2,,
443,WISE 2343-7418,48.6,,
444,WISE 2344+1034,46,,
445,WISE 2348-1028,54.1,,
446,WISE 2357+1227,54.8,,
447,WISE 2359-7335,42.7,,
448,WISEA 1101+5400,111,,
449,2M1510,120,40 + 39 + ?,
